,Informal,Formal
0,"Hey Jim, got a sec to chat about the Q3 numbers?","Dear Jim,

I hope this email finds you well. I was wondering if you might have a moment to discuss the third quarter financial results. Your insights would be greatly appreciated.

Best regards,
[Your Name]"
1,"Lisa - heads up, client mtg pushed to 3pm. Cool?","Dear Lisa,

I wanted to inform you that the client meeting has been rescheduled to 3:00 PM. Please let me know if this new time works for you.

Thank you,
[Your Name]"
2,"Yo Mark, where's that report at? Deadline's Friday!","Dear Mark,

I hope this message finds you well. I'm writing to inquire about the status of the report. As a reminder, the deadline is this Friday. Could you please provide an update on your progress?

Best regards,
[Your Name]"
3,"Boss, can I WFH tomorrow? Got a dentist appt.","Dear [Manager's Name],

I have a dental appointment scheduled for tomorrow afternoon. Would it be possible for me to work from home tomorrow to accommodate this commitment? I will ensure all my tasks are completed as usual.

Thank you for your consideration,
[Your Name]"
4,Team - pizza in the break room! Get it while it's hot!,"Dear Team,

I'm pleased to inform you that there is pizza available in the break room. Please feel free to help yourselves while it's still warm.

Enjoy,
[Your Name]"
5,"Alex, u free for a quick call? Got questions re: new project.","Dear Alex,

I hope this email finds you well. I have some questions regarding the new project and was wondering if you might be available for a brief phone call at your convenience.

Best regards,
[Your Name]"
6,"Guys, who's in for happy hour after work? Usual spot @ 6.","Dear Colleagues,

I wanted to extend an invitation to join us for after-work drinks at our usual venue at 6:00 PM. If you're interested in attending, please let me know.

Best regards,
[Your Name]"
7,Sarah - thx for the help yesterday! You're a lifesaver.,"Dear Sarah,

I wanted to express my sincere gratitude for your assistance yesterday. Your support was invaluable and greatly appreciated.

Thank you again,
[Your Name]"
8,IT dept - printer on 3rd floor's jammed again. Help!,"Dear IT Department,

I am writing to report an issue with the printer on the third floor. It appears to be jammed again. Could you please send someone to address this problem at your earliest convenience?

Thank you for your attention to this matter,
[Your Name]"
9,Reminder: team lunch tmrw @ noon. Don't forget!,"Dear Team,

This is a friendly reminder about our team lunch scheduled for tomorrow at 12:00 PM. We look forward to seeing everyone there.

Best regards,
[Your Name]"
10,"Hey Sam, can u send over the latest sales figs? Need em ASAP.","Dear Sam,

I hope this email finds you well. Could you please send me the most recent sales figures at your earliest convenience? I require them urgently for a report I'm preparing.

Thank you for your assistance,
[Your Name]"
11,"Team, heads up - AC's on the fritz. Might get toasty in here today.","Dear Team,

I wanted to inform you that we are experiencing issues with the air conditioning system today. As a result, the office temperature may be higher than usual. We apologize for any inconvenience this may cause.

Best regards,
[Your Name]"
12,Julie - got a min to look over my presentation? Kinda nervous about it.,"Dear Julie,

I hope you're doing well. I was wondering if you might have a moment to review my presentation. I would greatly appreciate your feedback as I'm feeling somewhat apprehensive about it.

Thank you for your time,
[Your Name]"
13,"Yo IT, my laptop's acting weird. Can someone swing by?","Dear IT Department,

I am experiencing some unusual issues with my laptop. Would it be possible for a member of your team to visit my desk and assess the problem?

Thank you for your assistance,
[Your Name]"
14,"Boss, quick question - cool if I take Friday off? Got family stuff.","Dear [Manager's Name],

I hope this message finds you well. I wanted to inquire about the possibility of taking this Friday off as I have some important family matters to attend to. Please let me know if this would be acceptable.

Best regards,
[Your Name]"
15,"Guys, don't forget to submit your timesheets! Deadline's EOD.","Dear Colleagues,

This is a friendly reminder to submit your timesheets by the end of the day today. Timely submission is crucial for our payroll processing.

Thank you for your cooperation,
[Your Name]"
16,Mike - any chance we can push back our 2pm? Swamped with work.,"Dear Mike,

I hope this email finds you well. I'm writing to inquire if it would be possible to reschedule our 2:00 PM meeting. I'm currently managing a heavy workload and would appreciate some additional time to prepare.

Thank you for your understanding,
[Your Name]"
17,FYI - parking lot's getting repaved next week. Gonna be a mess.,"Dear All,

Please be advised that the office parking lot will be undergoing repaving work next week. This may cause some inconvenience, so please plan your commute accordingly.

Best regards,
[Your Name]"
18,"Anna, u still have that marketing book I lent u? Need it back soon.","Dear Anna,

I hope you're doing well. I was wondering if you still have the marketing book I lent you some time ago. If possible, I would appreciate its return in the near future.

Thank you in advance,
[Your Name]"
19,"Hey all, who's up for grabbing lunch? Thinking Mexican today.","Dear Colleagues,

I wanted to extend an invitation to join me for lunch today. I was considering trying the new Mexican restaurant nearby. If you're interested in joining, please let me know.

Best regards,
[Your Name]"
20,"Dave, we still on for that brainstorming sesh this afternoon?","Dear Dave,

I wanted to confirm if our brainstorming session is still scheduled for this afternoon. Please let me know if there have been any changes to the plan.

Best regards,
[Your Name]"
21,"Peeps, printer's outta paper again. Someone pls restock!","Dear Colleagues,

I am writing to inform you that the printer has run out of paper. If anyone could kindly restock it, it would be greatly appreciated.

Thank you,
[Your Name]"
22,"Yo Jen, can u cover my shift next Tues? I'll owe ya one!","Dear Jen,

I hope this email finds you well. I was wondering if you might be available to cover my shift next Tuesday? I would be happy to return the favor in the future.

Best regards,
[Your Name]"
23,"Boss, got a sec? Need to chat about that promotion thing.","Dear [Manager's Name],

I was hoping we could schedule a brief meeting to discuss the potential promotion we had previously mentioned. Please let me know when would be convenient for you.

Thank you for your time,
[Your Name]"
24,"Hey team, who's got the login for the company Twitter?","Dear Team,

Could someone please provide me with the login credentials for our company's Twitter account? Your assistance would be much appreciated.

Best regards,
[Your Name]"
25,"Sarah, ur report was awesome! Thx for the hard work.","Dear Sarah,

I wanted to commend you on the excellent report you submitted. Your hard work and dedication are truly appreciated.

Thank you for your outstanding contribution,
[Your Name]"
26,"Guys, reminder: office closes early on Friday. Don't get locked in!","Dear Colleagues,

This is a reminder that the office will be closing early this Friday. Please ensure you have everything you need before leaving to avoid being locked out.

Best regards,
[Your Name]"
27,Tom - any updates on that bug we found yesterday?,"Dear Tom,

I hope this email finds you well. I was wondering if there were any updates regarding the bug we identified yesterday. Any information you could provide would be helpful.

Thank you,
[Your Name]"
28,"FYI all, new coffee machine in the break room. It's fancy!","Dear All,

I am pleased to inform you that a new coffee machine has been installed in the break room. It offers a variety of beverage options for your enjoyment.

Best regards,
[Your Name]"
29,"Lisa, can u send me that spreadsheet when u get a chance?","Dear Lisa,

When you have a moment, could you please send me the spreadsheet we discussed? I would greatly appreciate it.

Thank you in advance,
[Your Name]"
30,"Hey, who left their lunch in the fridge for like a week? It's gross now.","Dear Colleagues,

It has come to our attention that there is food in the refrigerator that appears to have been left for an extended period. In the interest of maintaining a clean and hygienic environment, please remember to remove your items in a timely manner.

Thank you for your cooperation,
[Your Name]"
31,"Team, heads up - big client visiting tomorrow. Look sharp!","Dear Team,

Please be advised that an important client will be visiting our office tomorrow. Kindly ensure that you are dressed appropriately and that your work areas are tidy.

Best regards,
[Your Name]"
32,"Yo, IT peeps - is the wifi down or is it just me?","Dear IT Department,

I am experiencing difficulties connecting to the Wi-Fi network. Could you please confirm if there are any known issues, or if this problem is specific to my device?

Thank you for your assistance,
[Your Name]"
33,"Anna, got those designs ready? Client's breathing down my neck!","Dear Anna,

I hope this email finds you well. I wanted to inquire about the status of the designs we discussed. Our client is eagerly awaiting their delivery. Could you please provide an update?

Best regards,
[Your Name]"
34,"All, don't forget to chip in for Mark's bday gift. Venmo me!","Dear All,

As a reminder, we are collecting contributions for Mark's birthday gift. If you would like to participate, please send your contribution via Venmo at your earliest convenience.

Thank you,
[Your Name]"
35,"Boss, can we talk about getting some standing desks? My back's killing me.","Dear [Manager's Name],

I would like to discuss the possibility of acquiring standing desks for our team. This ergonomic option could potentially improve comfort and productivity. Would you be available to discuss this matter further?

Best regards,
[Your Name]"
36,"Hey, who's the genius who scheduled a meeting for 8am on a Monday?","Dear Colleagues,

I noticed that a meeting has been scheduled for 8:00 AM on Monday. Given the early start time, I wanted to confirm if this was intentional or if there's a possibility of rescheduling to a later time.

Thank you for your consideration,
[Your Name]"
37,"Peeps, new security badges are in. Swing by HR to get yours.","Dear All,

Please be informed that the new security badges have arrived. Kindly visit the Human Resources department at your earliest convenience to collect yours.

Best regards,
[Your Name]"
38,"Sam, u joining the company softball team this year or what?","Dear Sam,

I hope this email finds you well. I wanted to inquire if you're planning to join the company softball team this year. Your participation would be greatly appreciated.

Best regards,
[Your Name]"
39,"Everyone, plz remember to clean up after urselves in the kitchen. Thx!","Dear Colleagues,

This is a friendly reminder to please clean up after using the kitchen facilities. Maintaining a tidy shared space is important for everyone's comfort and hygiene.

Thank you for your cooperation,
[Your Name]Dear Alex,

I hope this email finds you well. Could you please send me the client list at your earliest convenience? I would greatly appreciate it.

Thank you,
[Your Name]"
40,"Hey Alex, can u email me the client list? Thx!","Dear Colleagues,

I am planning to make a quick trip to the coffee shop. If anyone would like to join or would like me to bring something back, please let me know. It would be my pleasure to treat you.

Best regards,
[Your Name]"
41,"Guys, who's down for a quick coffee run? I'm buying!","Dear [Manager's Name],

I wanted to inform you that I may be slightly delayed in arriving to work tomorrow. My car is currently being serviced, which may affect my usual commute time. I will do my best to arrive as close to my regular start time as possible.

Thank you for your understanding,
[Your Name]"
42,"Boss, heads up - might be late tmrw. Car's in the shop.","Dear Facilities Team,

I hope this message finds you well. Several colleagues and I have noticed that the air conditioning seems to be set at a very low temperature. Would it be possible to adjust it to a slightly warmer setting?

Thank you for your attention to this matter,
[Your Name]"
43,"Yo, facilities team - AC's freezing us out! Can u turn it down?","Dear Team,

This is a friendly reminder to log your hours before the end of the day. Timely and accurate time tracking is crucial for our project management and billing processes.

Thank you for your cooperation,
[Your Name]"
44,"Team, don't forget to log your hours before EOD!","Dear Maria,

I hope this email finds you well. I was wondering if you might have a moment to discuss the Henderson account. Your insights would be greatly appreciated.

Best regards,
[Your Name]"
45,"Maria, got a sec to go over the Henderson account?","Dear All,

Please be advised that parking may be limited tomorrow due to a large event taking place at the neighboring venue. Please consider carpooling or alternative transportation if possible.

Thank you for your understanding,
[Your Name]"
46,FYI - parking's gonna be tight tmrw. Big event next door.,"Dear Pete,

I wanted to commend you on the excellent work you've done with the new design. Your creativity and attention to detail have truly elevated the project.

Keep up the outstanding work,
[Your Name]"
47,"Pete, ur killing it with the new design! Awesome job!","Dear Colleagues,

I seem to have misplaced my water bottle, which I believe I left in the conference room. If anyone has seen it, I would greatly appreciate if you could let me know.

Thank you,
[Your Name]"
48,Anyone seen my water bottle? Left it in the conf room I think.,"Dear Team,

This is a reminder that we have a staff meeting scheduled for 3:00 PM today. Please come prepared with updates on your current projects.

Best regards,
[Your Name]"
49,Reminder: Staff meeting @ 3pm. Bring ur project updates!,"Dear IT Department,

I am experiencing some technical difficulties with my computer again. Would it be possible for someone from your team to assist me when you have a moment?

Thank you for your help,
[Your Name]"
50,"Hey IT, my computer's acting up again. Help a girl out?","Dear Colleagues,

I wanted to inform you that we have a new team member starting on Monday. Please join me in giving them a warm welcome and helping them acclimate to our team.

Best regards,
[Your Name]"
51,"Guys, new guy starting Monday. Let's make him feel welcome!","Dear All,

There is one donut remaining in the break room. If anyone would like it, please feel free to help yourself.

Enjoy,
[Your Name]"
52,Who's got dibs on the last donut in the break room?,"Dear Sara,

I hope this email finds you well. I've drafted an important client email and was wondering if you could spare a moment to proofread it before I send it out. Your input would be greatly appreciated.

Thank you in advance,
[Your Name]"
53,"Sara, can u proofread this email before I send it to the client?","Dear Team Leads,

This is a reminder that your budget reports are due by Friday. These reports are crucial for our financial planning, so please ensure they are submitted on time.

Thank you for your prompt attention to this matter,
[Your Name]"
54,Team leads - need ur budget reports by Friday. No excuses!,"Dear Colleagues,

The copy machine appears to be malfunctioning again. If anyone has experience in troubleshooting this issue, your assistance would be greatly appreciated.

Thank you,
[Your Name]"
55,Anyone know how to fix the copier? It's jammed... again.,"Dear All,

I am pleased to announce that our annual company picnic is scheduled for next month. Please mark your calendars for this event. More details will follow soon.

Best regards,
[Your Name]"
56,"Hey all, company picnic next month! Save the date!","Dear Sophie,

I hope this email finds you well. I was wondering if you have the market research numbers available. I need them for an upcoming presentation and would greatly appreciate if you could share them with me.

Thank you for your assistance,
[Your Name]"
57,"Sophie, got those market research numbers? Need 'em for my presentation.","Dear Colleagues,

It has come to our attention that there is food in the refrigerator that has spoiled. We kindly ask that everyone check their items and dispose of anything that is no longer fresh. This will help maintain a clean and hygienic environment for all.

Thank you for your cooperation,
[Your Name]"
58,"Yo, who left their moldy lunch in the fridge? Not cool.","Dear Team,

Please be advised that a fire drill is scheduled for 2:00 PM today. This is a routine safety exercise, so please remain calm and follow the standard evacuation procedures when the alarm sounds.

Best regards,
[Your Name]"
59,"Heads up team, fire drill scheduled for 2pm today. Don't freak out!Psst, heard about the surprise party for Karen? It's next Friday!","Dear Colleagues,

I wanted to discreetly inform you about a surprise celebration for Karen, scheduled for next Friday. Your discretion in this matter would be greatly appreciated.

Best regards,
[Your Name]"
60,"Dude, can you believe they're getting rid of casual Fridays?","Dear Team,

I've received information suggesting that the casual Friday policy may be under review. While this is unconfirmed, I wanted to bring it to your attention.

Sincerely,
[Your Name]"
61,"OMG, the new guy is so cute! Have you seen him yet?","Dear [HR Manager],

I wanted to inquire about the integration process for our new team member. Are there any specific steps we should take to ensure they feel welcome?

Best regards,
[Your Name]"
62,"Ugh, traffic was brutal this morning. Barely made it on time!","Dear [Manager's Name],

I apologize for my near-tardiness this morning. There was an unusual amount of traffic which almost delayed my arrival. Rest assured, I've adjusted my commute plan accordingly.

Thank you for your understanding,
[Your Name]"
63,"Hey, wanna grab a beer after work? I need to vent about this project.","Dear [Colleague's Name],

I was wondering if you might be available for a brief, informal meeting after work hours. I have some project-related concerns I'd like to discuss in a more relaxed setting.

Best regards,
[Your Name]"
64,"Yo, IT wizards! My computer's doing that weird thing again...","Dear IT Support,

I'm experiencing a recurrence of the technical issue we previously addressed. Would it be possible to schedule another consultation?

Thank you for your assistance,
[Your Name]"
65,Anyone else think the new logo looks like a badly drawn cat?,"Dear Marketing Team,

I have some concerns regarding the new logo design. Would it be possible to schedule a meeting to discuss potential refinements?

Best regards,
[Your Name]"
66,Guess what? I finally landed that big account! Drinks on me!,"Dear Team,

I'm pleased to announce that we've successfully secured the account we've been pursuing. I'd like to invite everyone for a celebratory gathering after work.

Best regards,
[Your Name]"
67,Is it just me or does the new coffee taste like motor oil?,"Dear Office Management,

There seem to be some concerns about the quality of the new coffee being served. Would it be possible to review our supplier options?

Thank you for your consideration,
[Your Name]"
68,"Guys, I'm freaking out! My presentation to the board is in an hour!","Dear [Mentor's Name],

I'm feeling quite anxious about my upcoming board presentation. Would you be available for a quick review session?

Your guidance would be greatly appreciated,
[Your Name]"
69,Who's the genius who thought Monday morning meetings were a good idea?,"Dear Management,

I wanted to propose a review of our current meeting schedule. Perhaps we could explore more optimal times that don't impact productivity as significantly?

Thank you for your consideration,
[Your Name]"
70,"Dang, did you see John's new ride? Must be nice to be the boss's son...","Dear HR,

I have concerns about potential nepotism in the company. Could we schedule a confidential meeting to discuss this matter further?

Best regards,
[Your Name]"
71,Help! I'm stuck in the elevator! Anyone there?,"Dear Maintenance Team,

I am currently trapped in the elevator on the 5th floor. Please send assistance as soon as possible.

Thank you,
[Your Name]"
72,"FYI, there's cake in the break room. Susan's retirement or something.","Dear All,

There are refreshments available in the break room to commemorate Susan's retirement. Please join in celebrating her years of service if your schedule permits.

Best regards,
[Your Name]"
73,Can someone PLEASE tell Mark to stop microwaving fish? The smell is killing me!,"Dear Office Management,

There have been concerns raised about strong food odors in the office. Could we review and possibly update our kitchen use policies?

Thank you for your attention to this matter,
[Your Name]"
74,"Heads up, the boss is on the warpath. Budget cuts incoming...","Dear Team,

I've received information suggesting potential budget adjustments may be forthcoming. While unconfirmed, I wanted to ensure everyone is prepared for possible changes.

Best regards,
[Your Name]"
75,"LOL, just saw Dave trip over his own feet in front of the CEO!","Dear [Colleague's Name],

I hope you're alright after your mishap earlier. These things happen to the best of us. Please let me know if there's anything I can do to help.

Best wishes,
[Your Name]"
76,"Yo, finance peeps! Any chance of getting paid early this month? Pretty please?","Dear Payroll Department,

I wanted to inquire about the possibility of an advance on this month's paycheck due to unforeseen circumstances. I understand if this isn't feasible, but I appreciate your consideration.

Thank you,
[Your Name]"
77,Ack! Just spilled coffee all over my keyboard. Any spare ones lying around?,"Dear IT Support,

I've had an accident resulting in damage to my keyboard. Would it be possible to procure a replacement?

Thank you for your assistance,
[Your Name]"
78,"Hey team, let's play hooky tomorrow and hit the beach! Who's in?","Dear Team,

I wanted to gauge interest in a potential team-building activity outside the office. If there's sufficient interest, we can explore options that align with company policies.

Best regards,
[Your Name]"
79,"Hey, anyone know how to expense a helicopter ride? Asking for a friend...","Dear Finance Department,

I have an unusual expense report query. Could you please clarify the procedure for reporting transportation costs that fall outside our standard categories?

Thank you for your guidance,
[Your Name]"
80,"Guys, the vending machine ate my dollar. Again. Who do I yell at?","Dear Facilities Management,

I wanted to report a recurring issue with the vending machine on the third floor. It seems to be malfunctioning and not dispensing products after payment. Could this be addressed?

Best regards,
[Your Name]"
81,"OMG, did you hear? Bob from accounting is secretly a DJ on weekends!","Dear HR Department,

I wanted to inquire about our policy regarding employees' external activities. Are there any disclosure requirements for secondary employment?

Thank you for your assistance,
[Your Name]"
82,"Yo, who's the genius who put decaf in the regular coffee pot? Not cool.","Dear Office Management,

There seems to have been a mix-up with the coffee supplies this morning. Could we implement a system to prevent confusion between regular and decaffeinated coffee?

Best regards,
[Your Name]"
83,Help! Locked myself out of the office. Again. Anyone around with a key?,"Dear Security Team,

I find myself in a situation where I'm unable to access the office due to misplacing my key card. Could someone assist me with entry?

Thank you for your help,
[Your Name]"
84,Psst... rumor has it we're getting standing desks next month. Legs rejoice!,"Dear All,

I've received information suggesting potential upgrades to our office furniture. While unconfirmed, it may be worth considering ergonomic preferences for future workspace planning.

Best regards,
[Your Name]"
85,"Dudes, the CEO just liked my tweet. Do I get a raise now?","Dear Communications Team,

I noticed some unusual social media activity involving our executive leadership. Are there any guidelines for employee interaction with corporate social media accounts?

Thank you,
[Your Name]"
86,"FYI, avoid the west stairwell. Janet's kid's science project exploded there.","Dear Facilities Management,

There's been an incident in the west stairwell involving a visitor's personal property. The area may require cleaning and possibly repair.

Best regards,
[Your Name]"
87,"Hey team, anyone want my leftover sushi? I promise it's not from last week.","Dear Colleagues,

In the interest of reducing food waste, I have some surplus lunch items available. Please let me know if you'd like to partake.

Best regards,
[Your Name]"
88,"Ugh, can someone tell Dave his 'motivational' posters are giving me a headache?","Dear HR Department,

I wanted to discuss the current office decor policy. Some of the personal items displayed may be impacting workplace comfort. Could we review our guidelines?

Thank you for your consideration,
[Your Name]"
89,"Guys, I think I just saw a mouse in the break room. Should we name it?","Dear Facilities Management,

There have been reports of a possible rodent sighting in the break room area. Could we schedule an inspection to ensure our space meets health and safety standards?

Best regards,
[Your Name]"
90,"LOL, who scheduled the team building exercise at a paintball range? This'll be fun...","Dear Team Building Committee,

I wanted to express some concerns about the proposed location for our next team building event. Perhaps we could discuss some alternative venues that might be more universally appealing?

Thank you for your consideration,
[Your Name]"
91,Help needed: How do I diplomatically tell my cube mate their perfume is toxic?,"Dear HR Department,

I'm seeking advice on addressing a sensitive issue with a colleague regarding the use of fragrances in the office. Could you provide guidance on how to approach this diplomatically?

Best regards,
[Your Name]"
92,"Yo, IT ninjas! The printer is smoking. Literally. Send help!","Dear IT Support,

We have an urgent situation with the printer on the second floor. It appears to be malfunctioning in a potentially hazardous manner. Immediate assistance is required.

Thank you,
[Your Name]"
93,PSA: Free donuts in the lobby. It's like Hunger Games out there. May the odds be ever in your favor.,"Dear All,

There are complimentary refreshments available in the lobby area. Please be mindful of others and ensure everyone has an opportunity to partake if they wish.

Best regards,
[Your Name]"
94,Anyone else think our new client's logo looks like a potato? No? Just me?,"Dear Design Team,

I have some concerns about our latest client's branding materials. Could we schedule a meeting to review the design and discuss potential refinements?

Best regards,
[Your Name]"
95,"Guys, I just accidentally replied all to the CEO's email. How fast can I fake my own death?","Dear IT Support,

I've made an error in an email communication to senior management. Is there a way to recall or delete a sent email from the recipient's inbox?

Your urgent assistance would be greatly appreciated,
[Your Name]"
96,"Hey, who's up for starting a secret office band? I call dibs on tambourine!","Dear HR Department,

I'm interested in gauging interest in an employee social group focused on music. Are there any policies or procedures for establishing such an organization?

Thank you for your guidance,
[Your Name]"
97,SOS! Spilled coffee on my presentation notes. Anyone have a time machine?,"Dear Team,

I've encountered an unforeseen issue with my presentation materials. If anyone has a spare copy of today's agenda or talking points, I would greatly appreciate your assistance.

Best regards,
[Your Name]"
98,"FYI, the fire alarm is just a drill. No need to toss your computer out the window this time, Steve.","Dear All,

Please be advised that the upcoming fire alarm is a scheduled drill. Standard safety procedures should be followed, but please remain calm and avoid any unnecessary actions.

Best regards,
[Your Name]"
